"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2710","TC109 - should display checkbox for product selection","E-commerce Product Page","Fri Jul 11 08:57:26 UTC 2025","passed","Fri Jul 11 08:57:28 UTC 2025","Selection Confirmation","User Story 1: Product Selection and Customization","",""
"","4258","TC007 - Should handle username case sensitivity correctly","Login Feature Tests","Fri Jul 11 09:00:06 UTC 2025","passed","Fri Jul 11 09:00:11 UTC 2025","","Edge Case Tests","",""
"","2835","TC102 - should display size dropdown with all available options","E-commerce Product Page","Fri Jul 11 08:56:59 UTC 2025","passed","Fri Jul 11 08:57:02 UTC 2025","Product Customization","User Story 1: Product Selection and Customization","",""
"","4036","TC118 - should show validation error when required fields are empty","E-commerce Product Page","Fri Jul 11 08:58:10 UTC 2025","passed","Fri Jul 11 08:58:14 UTC 2025","Form Validation","User Story 3: Customer Information Submission","",""
"","3792","TC132 - should handle special characters in phone and address fields","E-commerce Product Page","Fri Jul 11 08:59:24 UTC 2025","passed","Fri Jul 11 08:59:28 UTC 2025","Special Characters","Edge Cases and Error Scenarios","",""
"","3348","TC001 - Should login successfully with valid credentials","Login Feature Tests","Fri Jul 11 08:59:34 UTC 2025","passed","Fri Jul 11 08:59:37 UTC 2025","","Successful Login Tests","",""
"","3228","TC106 - should allow quantity input and accept only positive integers","E-commerce Product Page","Fri Jul 11 08:57:16 UTC 2025","passed","Fri Jul 11 08:57:19 UTC 2025","Quantity Selection","User Story 1: Product Selection and Customization","",""
"","3835","TC101 - should display product information and load within acceptable time","E-commerce Product Page","Fri Jul 11 08:56:53 UTC 2025","passed","Fri Jul 11 08:56:57 UTC 2025","Product Display","User Story 1: Product Selection and Customization","",""
"","14495","TC119 - should show validation error when required fields are character","E-commerce Product Page","Fri Jul 11 08:58:14 UTC 2025","failed","Fri Jul 11 08:58:28 UTC 2025","Form Validation","User Story 3: Customer Information Submission","",""
"","2670","TC003 - Should fail login with invalid password","Login Feature Tests","Fri Jul 11 08:59:42 UTC 2025","passed","Fri Jul 11 08:59:45 UTC 2025","","Invalid Credentials Tests","",""
"","8858","TC131 - should handle reasonable character limits in address field","E-commerce Product Page","Fri Jul 11 08:59:15 UTC 2025","passed","Fri Jul 11 08:59:24 UTC 2025","Long Text Input","Edge Cases and Error Scenarios","",""
"","14295","TC006 - Should fail login with incorrect password case (DEFECT TEST)","Login Feature Tests","Fri Jul 11 08:59:45 UTC 2025","failed","Fri Jul 11 08:59:59 UTC 2025","","Invalid Credentials Tests","",""
